"year","quarter","0","1","2","3","4","5","6","7","8+","value"
2016,3,39734.8418780628,21142.9876593929,39190.2130660115,28907.1215268236,14969.0907538597,9227.49963518597,8697.35444598642,2630.67741137905,4886.66806454794,"wbss_canum_1000"
2016,4,13112.4661666054,29184.7272374514,22361.1606192246,18910.4575276518,5486.83774260528,3594.21350532177,1862.47411413406,619.874736211821,1096.42773117358,"wbss_canum_1000"
2017,1,0,13170.8369735688,62917.5236463782,35585.9520503928,56666.0511379326,27000.6973767826,23056.9897721731,12122.8167694085,4994.63796201357,"wbss_canum_1000"
2017,2,0,154.421971779955,2469.82808237709,5257.15363695603,9912.50994909864,7239.64700289572,5851.33005728458,3830.06626716267,4877.42767175276,"wbss_canum_1000"
2017,3,0,5009.84163350379,11393.8006186931,20335.9294802995,21329.8136108693,6710.41327948705,4494.02237645956,2651.13678215587,2102.42135441701,"wbss_canum_1000"
2017,4,5042.94565133699,48527.8248261331,13712.7902796264,10783.1236053393,13473.1602759435,4650.832748956,2096.89842204872,658.211164082886,463.151751552352,"wbss_canum_1000"
2018,1,0,45193.0840846013,166182.392828584,29772.2012530466,14646.9699571822,34804.2745082737,9792.8924918249,4871.56281105795,2733.10906001854,"wbss_canum_1000"
2018,2,0,1430.04654230272,1849.07655094794,5093.85287540798,5292.13126714141,10564.5522324504,4866.09081833433,3290.15296578501,1722.45306811657,"wbss_canum_1000"
2018,3,149.039875224484,24202.446659611,18982.4856575341,5554.56395703561,7801.90050927303,11204.8539700576,3695.62503486165,2205.48968401328,2042.96302362889,"wbss_canum_1000"
2018,4,606.492007063944,17893.1708872607,12232.2770471405,7720.64371452909,5738.03716564,7885.39785826751,1670.18540877452,730.340368363698,368.708926076186,"wbss_canum_1000"
2019,1,0,6868.64153393139,41229.1262776348,13346.3483583348,8545.51526139955,5163.60107832138,11502.3327122246,2942.64774967673,2422.43144671057,"wbss_canum_1000"
2019,2,0,606.520478886833,1301.54821877445,683.144041877383,508.109832821868,1034.70642233495,1281.85940328916,516.596509182729,178.18748810715,"wbss_canum_1000"
2019,3,0.0652383765325819,8594.80933601589,22597.8873532125,7699.81253065752,3540.46992040495,1919.3670885047,850.41496588591,679.703752159455,134.027430856078,"wbss_canum_1000"
2019,4,11780.4883448256,21040.80290293,13649.0125867345,7893.69248131996,6004.24638720698,4027.24896081273,2597.28192255557,566.395125335226,272.880843214664,"wbss_canum_1000"
2020,1,0,3382.07122758273,36459.6273268189,6160.78856256348,2481.21180154101,3920.41871515007,1922.80576912499,3517.58437036705,1055.80900022791,"wbss_canum_1000"
2020,2,0,123.43924978991,1876.38156142698,1159.6909853071,694.314349553095,574.912822287545,457.623831198741,336.469020309545,176.335228839805,"wbss_canum_1000"
2020,3,279.670394201596,1758.20649995737,8732.7278666403,12541.0416753425,9508.05885567015,8035.79932350194,3037.21118404994,3040.48544874484,1127.78571079508,"wbss_canum_1000"
2020,4,859.771071833403,46719.0434361808,5990.85667822543,2350.68401439043,1879.16680714828,2215.62881410362,1242.27661482364,1445.98629573159,199.464759357454,"wbss_canum_1000"
2021,1,0,510.716235983907,41066.016095151,7598.13941976946,1650.92940701952,411.666772602458,696.232916876698,438.56935410437,569.612541583399,"wbss_canum_1000"
2021,2,0.000636813373183236,130.453475821967,12209.2825678133,1494.30941396211,318.511661711358,265.141784338319,308.787850143136,239.554800485404,346.958118267522,"wbss_canum_1000"
2021,3,4.19998575491013,603.108273874104,6247.0335077784,5837.11706025591,6552.5360711124,3877.83227877792,2978.79320206325,1441.59315234054,1637.42266485889,"wbss_canum_1000"
2021,4,2964.26603639067,6846.2273203836,2416.19635623542,2136.64121855621,1943.52685321016,1095.50320854014,697.771585699083,412.75188005348,235.658107128301,"wbss_canum_1000"
2022,1,0,8.07384051303446,3231.86988434212,747.752113580147,696.210045942651,422.122375890832,356.167345204459,298.366721270772,234.70475468436,"wbss_canum_1000"
2022,2,77.7746489561198,34.5370630750018,3385.01483845827,6165.61133220739,6227.87155561279,4845.12703606993,4070.09343235348,2567.49549300752,3044.43203184763,"wbss_canum_1000"
2022,3,3607.75540410407,123.090427486849,441.686826527912,404.623519139132,784.866251766168,418.8895291314,490.90964533255,11.1872560036484,224.332434263658,"wbss_canum_1000"
2022,4,523.973844726278,353.837751378989,290.574619829737,399.078817716079,526.695667450254,416.742512290936,263.581866217127,111.354983161341,70.8796731768686,"wbss_canum_1000"
2023,1,0,582.343401730432,590.594877759919,641.467770073063,379.583450222681,355.202267375103,468.687192204887,218.255595406817,261.214771487084,"wbss_canum_1000"
2023,2,1.76362502699651,437.214132772183,1189.97939080794,809.597674327298,623.693937960502,308.348556114736,202.635652140423,92.5273319534124,106.903215946528,"wbss_canum_1000"
2023,3,87.0308761242569,563.38002530165,1138.3800945901,2383.17231188152,2866.94264239416,2114.46541161325,1284.04700652442,1196.97143322696,896.202859759147,"wbss_canum_1000"
2023,4,30.3124835659436,1298.45893553558,144.914589153259,795.693211850494,772.111747136856,322.782834322649,163.923198792466,82.242704569273,70.1405942359424,"wbss_canum_1000"
2024,1,0,381.891955247683,1729.25814066231,329.348631845899,585.95212017092,2006.84774633955,1634.83477682614,362.743115562932,833.533771047071,"wbss_canum_1000"
2024,2,0.000000000284795686429311,371.180973000944,684.429926982691,779.325077647247,514.04251894125,227.030229675395,228.264378780505,310.712190381382,395.575762283743,"wbss_canum_1000"
2024,3,32.5322964706638,451.902403905019,10161.8186590043,2065.667890867,3172.28389466077,2619.35805469684,2256.91806937412,745.894408584886,914.136805699788,"wbss_canum_1000"
2024,4,712.16295954745,431.940881946346,808.190286929016,253.596915712923,767.433924223395,232.277589199179,132.295702455657,84.0210496515017,37.2242305910481,"wbss_canum_1000"
2000,1,0,4896.56683763445,8002.4108682419,7823.26704193881,7420.8330914818,3958.23950313663,2479.10033591882,1183.57519975572,558.831167698157,"wbss_caton"
2000,2,0,6381.42346186777,8653.89866678679,5995.59725497838,6411.43909527501,3552.79700632639,2419.73182098062,785.450483119344,927.255158346846,"wbss_caton"
2000,3,196.985527753693,10142.155690305,8344.97818137434,3140.45641951946,3521.50180929546,1283.79059682614,268.377513218172,74.6593260116553,33.8322711636858,"wbss_caton"
2000,4,3728.53757286304,11336.4140394836,8431.23108258709,3281.73748793826,1344.46731061132,1238.76325087142,45.1441182360846,75.2920147893637,74.3356958685653,"wbss_caton"
2001,1,0,4662.9702822905,7722.22298371546,8003.64950303999,5979.75689470137,5288.91938513386,1992.0340956066,982.177644566539,196.759714151601,"wbss_caton"
2001,2,0,3348.0708472648,7159.4141089973,6320.92763280607,4451.69024707818,3299.3781754102,2510.41213576901,1113.84513875386,500.10770266188,"wbss_caton"
2001,3,1779.39619735061,3030.40476720411,6656.10919707949,4365.60396793546,2581.37627502688,1448.68564539814,1052.9718748241,366.178686531689,232.15407227735,"wbss_caton"
2001,4,7279.47444296128,2154.42098991771,5553.84122632639,3041.44802326239,562.424642957223,315.421564967485,161.565639560363,37.7866486609851,6.3,"wbss_caton"
2002,1,0,5628.98849866945,5280.50971624267,7271.29257545158,6089.99872304705,2668.25116817367,3476.52722911558,807.24430087395,377.541026804083,"wbss_caton"
2002,2,0,866.521309622918,3400.70525403657,5958.48694159129,7507.23166650177,2080.82556986843,1503.25790363394,989.681543844122,531.89224165423,"wbss_caton"
2002,3,744.663670310953,3194.7680870451,4756.47630824287,7481.05197919196,4553.28997876457,1266.28113706863,714.273113986115,260.758452082681,198.771250691634,"wbss_caton"
2002,4,762.981892199671,3008.0969964785,4167.32184102332,9227.84527122223,4399.8288778651,1733.25008653049,424.551915205515,68.3803400393463,162.374866184131,"wbss_caton"
2003,1,0,534.423330930666,4273.66342645316,4897.08120308814,9660.87741199222,6132.7384414796,1886.41446652144,1825.62044565588,797.15773433443,"wbss_caton"
2003,2,0,60.4955553791115,2590.32167277393,2398.88324733016,5238.94248653214,5205.29596615685,1369.59774743342,531.85347532053,496.931694644811,"wbss_caton"
2003,3,0,746.832989899638,6183.85683456806,3367.53964814051,4175.83700389595,1111.84739235247,452.623866068576,114.135848520836,31.4701382268553,"wbss_caton"
2003,4,846.104797982243,1918.78645167124,4359.962851259,2603.01010073715,1956.70143285979,740.19093457454,206.075623733024,29.7688090692003,17.9956853741657,"wbss_caton"
2004,1,0,1511.81582672362,3586.63202664984,4895.0265388887,4423.41192602539,6262.12249393188,3712.67358901669,1578.62002716985,962.858643376258,"wbss_caton"
2004,2,0,387.436817966654,817.282888762084,1656.35375562599,2305.45360716739,3235.85595070662,3100.82551298835,649.547476877935,641.924796702714,"wbss_caton"
2004,3,78.5574065206579,3503.24554854344,2646.76627811729,4034.87235204437,1785.75836680632,1726.49266451987,469.102247166244,213.745078162431,75.9515670993425,"wbss_caton"
2004,4,528.904684365856,4751.14518404852,3273.31473824402,3475.0145494322,1744.31363280686,1360.36748153234,608.354538624962,143.768747822036,21.267,"wbss_caton"
2005,1,0,1084.42817545459,5920.16319989908,6024.95196084803,6490.28689391604,3038.35283666485,4944.98211547763,2570.42893474299,983.289872189574,"wbss_caton"
2005,2,0,520.326315053944,2102.15971265802,2282.98518664077,3892.48814468353,3193.48143344792,3281.40715925929,2092.62957218987,930.987758319826,"wbss_caton"
2005,3,1230.24914200403,1249.80995091801,9119.0639222357,4211.17986613175,2500.33204620145,901.040782451399,954.351500586402,262.512901931743,140.282545165288,"wbss_caton"
2005,4,46.2747687554483,2976.79815588705,5042.53259811922,3116.30962516105,1631.50522509764,507.338833905848,650.010900823606,133.837238672145,150.163086193196,"wbss_caton"
2006,1,0,1069.01480400613,5350.43620559264,10323.7159706199,5333.97321506013,5122.34145707403,1822.65142322882,1817.80425793925,939.192910615824,"wbss_caton"
2006,2,0,113.5968213487,1243.73527526082,3873.26395018251,4950.66160431944,2847.09594617984,2500.32630379784,2045.17546619646,976.569255379481,"wbss_caton"
2006,3,3.31600688304584,1245.64398279753,4214.8407396349,3659.88999255184,2270.37411457084,1186.0038799201,602.060227021594,374.990160906363,205.903381062176,"wbss_caton"
2006,4,230.288502979479,2754.52301711778,2761.0534132551,2822.97863793872,2078.86310337649,924.930073550853,253.754731044607,210.310835946627,112.751399925313,"wbss_caton"
2007,1,0,617.252923850168,4199.73061143913,4134.33438747057,6680.22567786591,3543.73593301235,2278.66981007839,1549.06577471643,1389.35978362724,"wbss_caton"
2007,2,0,77.0000377866829,1891.72357730795,2964.71751617389,2951.64395841547,2301.90844244911,1010.07277097544,599.712506838355,490.486771027827,"wbss_caton"
2007,3,17.7860319937395,4141.69946111022,4145.08761620904,2462.67805401348,2900.87882292634,1669.14851158539,1091.35250700622,308.523813103137,421.311215260134,"wbss_caton"
2007,4,33.0962401276752,2377.1404356106,2884.09319890044,2843.25722008062,3122.34945782276,1316.67947178324,552.801737422416,577.548600062583,713.447574123001,"wbss_caton"
2008,1,0,261.208512939833,3542.57089804677,4779.64251863447,4029.28703045629,6353.0332059794,3325.98554015457,1387.99829511306,1516.20199564856,"wbss_caton"
2008,2,0,293.283065889796,885.947271105484,2226.69711489244,2245.46106670055,1997.64741015184,1658.16651405813,659.563503587516,798.918658386084,"wbss_caton"
2008,3,66.8877151116957,4905.17318484935,3343.07275790105,3752.57322901328,1424.34668750371,1790.45603996992,882.7896055084,240.920974661155,80.6213908622136,"wbss_caton"
2008,4,249.558030744906,4841.38574312346,1877.38819751567,2294.30639659209,1761.6803002385,1323.97260808471,419.086388265556,258.89610602293,283.622260315993,"wbss_caton"
2009,1,0,3171.14316922409,9092.48473538735,4760.5774202897,4151.92773688874,3899.78845878571,4126.95187997019,1992.86518718073,1206.45634362625,"wbss_caton"
2009,2,0,1059.75019685001,1410.31353836305,1627.15969110758,1784.74207229417,1386.57073885917,1025.45977499583,482.402661771413,375.625336141726,"wbss_caton"
2009,3,35.7676258880162,2214.46551699098,4958.42262056124,1600.71316614268,1154.49337412255,725.741401641606,634.269578156154,192.165140749438,228.295892788727,"wbss_caton"
2009,4,206.794903181655,3589.78008434702,2088.23739141142,1178.03840351591,925.112823764011,734.400520136672,329.371621590594,114.840880697232,45.9800452936124,"wbss_caton"
2010,1,0,298.439083650779,4096.53965214895,3600.63558525418,2959.8097143541,2126.66366486848,1773.44554137238,1115.52088846451,938.290293125744,"wbss_caton"
2010,2,0,54.3920318130462,1474.66536442252,1140.24883708877,1355.84494527456,1665.88663025717,1056.62364871045,708.377230890031,646.41550603992,"wbss_caton"
2010,3,46.1234419630265,1298.9022493642,2415.96737896171,2436.44059029164,962.387374357097,562.570697896574,230.726220278244,130.010431596361,181.492786036141,"wbss_caton"
2010,4,91.7949362219309,2136.14985397777,1280.4856096509,856.389220614735,537.226666121971,533.31203589063,83.1734195368947,77.7988049299517,58.598983460119,"wbss_caton"
2011,1,0,306.736261711608,1005.18929513949,1683.28568858912,2765.76060277393,1998.27821284228,1925.15935233252,885.960980111444,833.217619080417,"wbss_caton"
2011,2,0,173.750479501782,104.163682223219,173.474247884821,1009.56863408535,837.359465995711,941.328995234607,602.572301063722,484.471774992216,"wbss_caton"
2011,3,18.9046139049376,487.744669679026,1298.86610284032,1326.29017315879,964.325225704014,767.744127224929,272.729112810797,191.808167041737,179.875422548093,"wbss_caton"
2011,4,68.4019763937177,2344.30194996134,1058.52348606134,893.131437487396,762.055559684162,404.856050223974,266.663597201868,145.419686086745,70.5611893815222,"wbss_caton"
2012,1,0,436.561802868196,3363.17721031187,3234.2979906206,3046.00422307076,3255.43987269335,1810.56247600534,1144.52313526003,1213.56714805806,"wbss_caton"
2012,2,0,121.1443928861,414.21908298735,444.57623609513,543.989490478679,419.794238825512,318.953850101168,239.392162322393,218.953822569698,"wbss_caton"
2012,3,14.1631007583114,672.358052105346,3733.51458359476,1711.81353923976,1302.65531078576,988.223361357963,386.23206070807,215.706129837694,181.983884028559,"wbss_caton"
2012,4,8.10683460625392,995.259030965988,1695.09448284743,1311.3533106967,1029.60262180374,897.561677370117,255.019018297182,233.805118042574,125.129887646378,"wbss_caton"
2013,1,0,672.698592806979,2141.96540009309,4661.94394753838,4044.38543704471,2145.35738500136,1831.36958447498,772.12323188864,857.705234629465,"wbss_caton"
2013,2,0,163.846695601754,509.319348051356,1392.41439800874,2502.01865319406,1526.90695561238,1370.51509055028,774.885867148792,984.212148072579,"wbss_caton"
2013,3,0.0610189594020421,34.7919144527532,2177.84503091744,2763.83940155541,923.216177953464,579.757617413833,323.555124369501,208.826246406872,114.595155225826,"wbss_caton"
2013,4,13.6240197104711,952.786883266814,2078.62165660148,3434.44631168952,1365.7997509517,709.883732529035,368.30619284149,136.230667125161,101.544044504484,"wbss_caton"
2014,1,0,87.4759883528581,1094.21531012803,2263.56574824616,4473.28925780243,2544.49441578832,1022.31014457004,723.183051740561,749.992758913536,"wbss_caton"
2014,2,0,34.674173128125,607.734854065165,513.502668521062,750.836545484742,460.379459515569,354.087626650687,197.992402932795,148.866707972941,"wbss_caton"
2014,3,135.013729616459,1314.4566495469,934.94052792341,1516.37816557533,3450.06757092194,915.99755903299,512.415527781797,379.688371706085,228.528404499986,"wbss_caton"
2014,4,204.666464331424,1573.69531086663,1213.2581981985,1703.44309557648,1421.75261608019,527.091714000958,292.973424954101,263.120381880816,147.156823092922,"wbss_caton"
2015,1,0,674.115687010291,3621.3728545614,2249.80009029138,3808.55295491154,4006.20461888634,2348.11359895118,712.370309438453,1209.64103881201,"wbss_caton"
2015,2,0,160.94187615759,790.553442675253,557.348606070194,778.31841964934,661.837057447822,311.724075642111,196.612461108207,285.523052218547,"wbss_caton"
2015,3,2.3725714707598,414.036530727863,902.923207235598,843.509803866602,1125.85089743184,478.26925884308,324.649533606357,227.243467930176,280.912665486642,"wbss_caton"
2015,4,165.3345107533,1518.12257456606,2083.94931724293,1193.29508473513,1009.94639166473,696.719935499949,160.824365829976,88.0944386443441,121.834006445722,"wbss_caton"
2016,1,0,67.299040311337,5008.67154958052,5840.2223333727,3266.59892237901,3083.77899411589,2903.99564977323,1263.69488610076,958.969630461736,"wbss_caton"
2016,2,0,75.8611324734724,164.743638214001,1121.24176943729,638.788767737248,596.360631575608,379.977716507155,478.790525885115,424.88927901119,"wbss_caton"
2016,3,279.704865543714,839.261986041134,3985.62220408994,3690.74926880576,1856.86324041164,1545.75169917883,1696.01398180665,502.67965792499,1116.38829105691,"wbss_caton"
