"year","fleet","0","1","2","3","4","5","6","7","8+","value"
2007,"C",11.3798264241673,6041.23358668392,7178.50352340124,3909.84348761563,5101.52812204236,2130.70108468839,1805.20818808773,510.931291189699,759.274431253605,"wbss_caton"
2007,"D",30.2794511948606,300.627485810193,337.348467129063,0,0,0,0,0,0,"wbss_caton"
2007,"F",9.22299450238684,871.23178586356,5604.78301332625,8495.14369012294,10553.5697949881,6700.7712741417,3127.68863739473,2523.9194035308,2255.3309127846,"wbss_caton"
2008,"A",0,0,9.9274,14.32629,27.67524,12.93292,15.56577,36.29262,7.55475,"wbss_caton"
2008,"C",225.391028302575,8346.80480882318,5251.87557458989,3507.68097582657,1279.43332142078,1687.85090329897,1100.48905512962,697.456616143682,202.543579007089,"wbss_caton"
2008,"D",59.7924466384272,168.214376812352,97.45290106382,11.3949279659938,6.13343913260251,0,0,0,0,"wbss_caton"
2008,"F",31.2622709156,1786.03132116691,4299.65064891526,9534.14335533972,8175.20832434568,9777.25836088689,5185.53899285703,1849.92226324098,2476.82072620576,"wbss_caton"
2009,"A",0,0,140.40702,352.89525,712.3275,300.26723,429.93997,1110.46227,894.56232,"wbss_caton"
2009,"C",43.6540570646766,8199.26077315621,13078.2035263121,3990.22548961056,2127.49121993707,782.325782795404,743.427674806332,365.672582962451,363.829078392673,"wbss_caton"
2009,"D",189.685412473533,1213.14147289996,224.668170353342,41.8963355934732,9.052653611904,15.9606540279805,2.439579469824,1.005810591744,2.34073631232,"wbss_caton"
2009,"F",9.22305953146178,622.736721355923,4246.58658905762,5134.36685585183,5879.7321335205,5948.21468259978,5370.18560043661,2415.59547684462,1490.18780314532,"wbss_caton"
2010,"A",0,1.7628,4.2336,81.4814,197.26595,79.96284,109.24102,59.1408,239.47432,"wbss_caton"
2010,"C",8.68528133686424,3175.31104810492,7433.64875981774,4820.57505336746,2326.45370423875,1037.79297836717,686.216246578606,541.333485926778,406.253613642473,"wbss_caton"
2010,"D",94.3301176935357,113.070887302956,326.194190213332,18.9958702781374,12.7021515454704,9.24569572410578,0,0,0,"wbss_caton"
2010,"F",34.9029791545574,499.501283397919,1507.815055153,3194.14330960373,3476.1128443235,3841.39435482158,2457.75258331937,1490.37386995407,1418.54395501945,"wbss_caton"
2011,"A",0,0,9.43047,73.814,73.124,48.82595,14.69838,22.95649,65.21432,"wbss_caton"
2011,"C",2.69854198903363,2246.13376605821,2379.9015117753,2437.44375467229,1673.76842290018,945.290174275326,501.591168615422,191.336758949046,167.333567667058,"wbss_caton"
2011,"D",50.5309903558974,723.989154648456,64.3209494668725,42.3854214549729,0,0,0,0,0,"wbss_caton"
2011,"F",34.0770579537242,342.410440147087,1022.5201050222,1596.35237099286,3827.94159934728,3062.94768201157,2904.28988896437,1634.4243753546,1400.79243833519,"wbss_caton"
2012,"A",0,0,2.2336,39.51082,73.71347,0,305.17352,0,1674.15405,"wbss_caton"
2012,"C",0,1104.85668258707,6513.56590265831,2605.07585928572,1615.51650429992,1122.75645083767,439.49045868454,306.429479494498,177.571063096763,"wbss_caton"
2012,"D",14.1631007583114,433.763776714943,549.746870258475,12.925437374079,0,0,0,0,0,"wbss_caton"
2012,"F",8.10683460625392,686.702819523618,2142.69258682462,4084.03977999239,4306.73514183902,4438.26269940927,2331.27694642722,1526.99706596819,1562.06367920594,"wbss_caton"
2013,"A",0,0,7.15606,63.07189,36.85788,96.6264,68.82096,16.3011,163.185,"wbss_caton"
2013,"C",0,617.454765937761,3985.30335425667,8376.56313316864,1589.04925328676,799.144970471232,190.187856173622,86.0759782151012,85.2058872007064,"wbss_caton"
2013,"D",0,137.465142400132,966.960819524065,233.348000663838,55.233603878308,0,0,0,0,"wbss_caton"
2013,"F",13.6850386698732,1069.20417779041,1955.48726188263,3642.73292495958,7191.13716197886,4162.76072008537,3703.55813606263,1805.99003435436,1972.85069523165,"wbss_caton"
2014,"A",0,3.5241,362.18427,537.3555,900.85584,156.93536,422.60752,221.13245,348.45096,"wbss_caton"
2014,"C",15.176175662772,2090.78677941859,1716.80848430729,2251.00169079074,5324.07095364257,1217.12738909008,479.195423114985,484.133186649668,210.996136235353,"wbss_caton"
2014,"D",260.222821249872,221.977788911357,55.5025239023143,89.1804573111152,0,0,0,0,0,"wbss_caton"
2014,"F",64.2811970352383,697.537553564566,2077.8378821055,3656.70752981717,4771.87503664674,3230.83575924775,1702.59130084164,1079.85102161059,1063.54855824403,"wbss_caton"
2015,"A",0,2.2938,12.9865,124.66216,228.0798,700.28992,372.45175,294.94062,468.9153,"wbss_caton"
2015,"C",16.5608291728238,798.777274176451,3140.70722049815,1663.00611364245,1534.98301478884,1442.53059340089,671.885018060176,170.616257944532,552.33956422379,"wbss_caton"
2015,"D",53.0157021826661,1242.11508369999,448.114483340425,44.2531519254657,34.49794784172,38.9764844468855,0,0,0,"wbss_caton"
2015,"F",98.13055086857,726.324310585362,3809.97711787661,3136.69431939539,5153.18770102689,4361.52379282941,2473.42655596945,1053.70441917665,1345.57119873913,"wbss_caton"
2016,"A",0,2.436,146.66379,631.59439,179.98992,206.84304,248.06634,151.46287,271.8749,"wbss_caton"
2016,"C",2.45994407592163,1209.20233532434,8466.19237672566,4904.05786683091,2003.00330225721,1598.84966281112,2495.60928639932,589.464829207345,1300.90719765087,"wbss_caton"
2016,"D",264.615257003455,390.206265863042,581.040790195667,84.9493702733068,23.984897135053,74.6660356815212,9.8606311519476,5.74515774460626,3.04155410008567,"wbss_caton"
2016,"F",170.798888730206,757.019509825495,1936.38897465217,7839.53673030003,4360.70233231394,4074.20867104913,2804.83053977892,1738.02335351439,1389.32748315012,"wbss_caton"
2017,"A",0,0.289524861849929,5.75932978777439,345.649255290481,168.141894476442,44.1705660081674,18.0411225186,21.3700836140912,28.7429506708145,"wbss_caton"
