"year","0","1","2","3","4","5","6","7","8+","value"
2014,339.680193947883,3013.82622189451,4212.33316031511,6534.24517791903,10996.8018302893,4604.89850833784,2604.39424395662,1785.11665826026,1622.99565447939,"wbss_caton"
2015,167.70708222406,2769.5104684618,7411.78532171519,4968.61574496331,6950.74846365745,6543.32079067719,3517.76332402962,1519.26129712118,2366.82606296292,"wbss_caton"
2016,437.874089809583,2358.86411101287,11130.2859315735,13460.1383574042,6567.68045170621,5954.56740954177,5558.3667973302,2484.69621046634,2965.15113490107,"wbss_caton"
2017,123.648231955892,2611.82192299098,5247.73005620061,7076.91911413703,12644.9728066646,6012.90928428091,5265.49551096732,3073.40581883423,1821.67375877335,"wbss_caton"
2018,9.87873454521959,2995.81805720306,11065.805144649,4531.8304817859,4411.36830262754,10456.0748435325,3407.82189090951,2011.91077450579,1384.39440040585,"wbss_caton"
2019,187.230334786459,2199.72328075016,6370.81962241056,3587.43282451204,2836.85453439935,3088.31465486838,4543.97470917482,1294.89196137742,1093.62666653743,"wbss_caton"
2020,18.1028943069823,2569.42455974755,3758.26051522528,3557.62686633089,3372.8717835146,2668.41408026845,3107.4327857218,2577.60019309531,1408.03588536972,"wbss_caton"
2021,32.7361641487676,403.419813869295,4171.62061919965,2140.98579692555,2759.69581765587,1708.55796898323,1213.61897100548,689.508765788023,975.038204113893,"wbss_caton"
2022,30.7114803139978,27.588895041851,760.002184749401,967.723737373085,1164.13741686871,1020.34757435611,904.562813953283,569.075016803966,717.948546701424,"wbss_caton"
2023,1.7083615443273,117.349495512663,274.754191254582,694.882043655217,792.259121493001,538.86896846104,371.545290488095,305.894962407702,249.824536327406,"wbss_caton"
2024,11.9923683843464,52.3276082443532,1373.58748147585,480.169033733485,868.364379016473,891.543334127175,771.10491147303,308.451558887307,422.413476289356,"wbss_caton"
2000,0.0222690241185298,0.028360562747547,0.0580404472796129,0.0963088176254556,0.132484318479584,0.145413969809287,0.149157962276836,0.157416131666596,0.159471124202352,"weca_kg"
2001,0.0122307127914514,0.0247105186560062,0.0565943773478074,0.0783965623571885,0.0986294531231345,0.147359739665306,0.135314337563065,0.138995456059386,0.150402774680559,"weca_kg"
2002,0.0104861848760678,0.0180860312352299,0.0676252134821721,0.091798628366626,0.11616459175621,0.130104991941592,0.180162213832142,0.172447005481998,0.175917645820576,"weca_kg"
2003,0.0132061732604401,0.0343048437595071,0.0705403224913074,0.0924579281861574,0.109901085237291,0.124712475728877,0.137162468839673,0.168106849092488,0.164737061695083,"weca_kg"
2004,0.0204599331345633,0.0355767089603369,0.0678933710177849,0.0988427296220991,0.105012747741686,0.130831226954545,0.150656975914401,0.166960384267154,0.153061342910602,"weca_kg"
2005,0.0136727978459295,0.033611476017018,0.0731184137453543,0.0918843393755599,0.109594087644104,0.121467121586179,0.147029691501146,0.159890779662181,0.168375141650662,"weca_kg"
2006,0.0146809216318604,0.0390792725489377,0.0730491143822563,0.0962303670101949,0.112656494360409,0.148987383444786,0.153500349589399,0.184765603296333,0.180847279031876,"weca_kg"
2007,0.0224747888728157,0.0503077446667272,0.068805711391513,0.0850485569342139,0.113388258848008,0.12422693198139,0.150393922620415,0.160985642582489,0.190524765142325,"weca_kg"
2008,0.0255454984264774,0.0614210566192463,0.0741116210893978,0.0896036653796293,0.106426877628126,0.126686909022999,0.130520420609293,0.155368238485921,0.1606980751248,"weca_kg"
2009,0.0142460397822145,0.0417612330495559,0.0764721911267242,0.100814788379575,0.135133154133285,0.152849520443272,0.162468057929288,0.179672694175049,0.196219508498694,"weca_kg"
2010,0.00895804621216383,0.0483050770760109,0.07619544438569,0.107829514260688,0.137666177800664,0.167909500840444,0.182075828289079,0.199196691473157,0.204710294216982,"weca_kg"
2011,0.00986514992426267,0.0327232411745772,0.07740878785153,0.103346432706604,0.119079997905129,0.149103128951548,0.154554774951581,0.164961175420088,0.173606849754737,"weca_kg"
2012,0.0113830095303411,0.0304894322953681,0.0688692165595348,0.105370516341548,0.124746445161265,0.154268170978767,0.17642278221528,0.181905494054787,0.208807498250049,"weca_kg"
2013,0.0137202420418749,0.0248847961310893,0.0737337995205981,0.112855394446761,0.134568754207022,0.14721048525546,0.148736816642039,0.161962143755768,0.184867163845319,"weca_kg"
2014,0.0104812339889981,0.0465678597196566,0.0726635568955363,0.0993439393889115,0.14651556234283,0.169254173152393,0.17122021230119,0.18239015144838,0.189432899186644,"weca_kg"
2015,0.00931667760619867,0.0251763269865155,0.0586049465338182,0.0894768188435535,0.116461397480565,0.153769362112678,0.176562155612044,0.14938897590632,0.170084156444798,"weca_kg"
2016,0.00828564606241585,0.0392471064128909,0.0592258997203887,0.097846441776952,0.110732823344126,0.143332381894077,0.17874617089045,0.179427977510379,0.19946454513341,"weca_kg"
2017,0.0245190490845585,0.039060664564525,0.0579598806283569,0.0952095784495299,0.123492620397269,0.13115222324399,0.147951238235622,0.158663909306629,0.144877407501263,"weca_kg"
2018,0.0130752053974187,0.0337567036394097,0.0554465645376523,0.0924073848728161,0.123373672788197,0.152134917156623,0.156544273281816,0.16824121881051,0.18482401606291,"weca_kg"
2019,0.0158931694902208,0.0492000495300554,0.0749360834632277,0.104042448671849,0.132882260114143,0.159174300236559,0.17531299126646,0.176045461301108,0.195629345078303,"weca_kg"
2020,0.015887515810686,0.0477637464011043,0.0667976478645167,0.126800975624102,0.152626053597107,0.16713796223439,0.178792494325016,0.188624387867856,0.197016081302917,"weca_kg"
2021,0.0110279709728147,0.0475490375617009,0.0661795721900401,0.107805499556888,0.154997687182844,0.168842455530453,0.184765374630343,0.189838664945881,0.193477939847153,"weca_kg"
2022,0.00729574815933707,0.053102636497612,0.103413671092689,0.125400477931611,0.141353546196181,0.167191118187375,0.174600668681863,0.190427710060555,0.200861350695818,"weca_kg"
2023,0.0143430844831104,0.0407266045136291,0.0896755688742241,0.15008475254557,0.170659737267442,0.173783904211774,0.175315674511044,0.192387123920634,0.187210007401891,"weca_kg"
2024,0.0161037260375003,0.0319671879315606,0.102631394007373,0.140075159306985,0.172304349951289,0.175310381755065,0.181337762444003,0.2051733120242,0.193725832475992,"weca_kg"
